DATAFLOW,LAST UPDATE,freq,unit,sex,indic_he,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Austria,2012,83.6,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Austria,2013,83.8,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Austria,2014,84.0,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Austria,2015,83.7,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Austria,2016,84.1,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Austria,2017,84.0,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Austria,2018,84.1,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Austria,2019,84.2,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Austria,2020,83.6,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Austria,2021,83.7,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Austria,2022,83.6,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Austria,2023,84.2,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Belgium,2012,83.1,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Belgium,2013,83.2,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Belgium,2014,83.9,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Belgium,2015,83.4,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Belgium,2016,84.0,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Belgium,2017,83.9,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Belgium,2018,83.9,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Belgium,2019,84.3,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Belgium,2020,83.0,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Belgium,2021,84.3,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Belgium,2022,83.9,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Belgium,2023,84.5,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Bulgaria,2012,77.9,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Bulgaria,2013,78.6,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Bulgaria,2014,78.0,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Bulgaria,2015,78.2,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Bulgaria,2016,78.5,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Bulgaria,2017,78.4,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Bulgaria,2018,78.6,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Bulgaria,2019,78.8,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Bulgaria,2020,77.5,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Bulgaria,2021,75.1,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Bulgaria,2022,77.9,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Bulgaria,2023,79.7,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Switzerland,2012,84.9,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Switzerland,2013,85.0,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Switzerland,2014,85.4,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Switzerland,2015,85.1,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Switzerland,2016,85.6,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Switzerland,2017,85.6,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Switzerland,2018,85.7,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Switzerland,2019,85.8,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Switzerland,2020,85.1,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Switzerland,2021,85.8,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Switzerland,2022,85.5,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Switzerland,2023,86.0,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Cyprus,2012,83.4,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Cyprus,2013,85.0,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Cyprus,2014,84.3,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Cyprus,2015,83.7,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Cyprus,2016,84.9,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Cyprus,2017,84.2,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Cyprus,2018,84.8,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Cyprus,2019,84.4,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Cyprus,2020,84.4,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Cyprus,2021,83.4,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Cyprus,2022,83.4,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Cyprus,2023,85.3,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Czechia,2012,81.2,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Czechia,2013,81.3,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Czechia,2014,82.0,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Czechia,2015,81.6,,
ESTAT:TPS00208(1.0),04/07/25 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Czechia,2016,82.1,,
