Rank,Country,EU_Quality_of_Life_Index,Cluster,GDP_PPS,Life_Expectancy,Education_Expenditure,Education_Expenditure_Log,Unemployment_Rate,High_Life_Satisfaction,Economic_Subindex,Health_Subindex,Education_Subindex,Employment_Subindex,Wellbeing_Subindex,PC1,PC2
16,Malta,0.5065232861780066,0,109,83.4,817.5,6.7074733968111895,3.5,23.5,0.2486486486486486,0.9289940828402372,0.0,0.90625,0.6074380165289255,0.26020121862647305,1.22404865943616
17,Cyprus,0.492632849245066,0,97,83.3,1707.9,7.443605167652863,5.8,23.7,0.18378378378378374,0.9171597633136095,0.13794899968141228,0.6666666666666667,0.6157024793388428,0.17658571598754283,0.20382720071725233
18,Portugal,0.4815013818632589,1,81,82.4,13205.6,9.488471983616114,6.5,19.8,0.0972972972972973,0.8106508875739653,0.5211512236817615,0.59375,0.45454545454545453,-0.20257122706223865,-0.8574581752987134
19,Romania,0.388714720411786,2,75,76.5,14553.8,9.585676115102835,5.6,29.1,0.06486486486486487,0.11242603550295804,0.53936700139254,0.6875,0.8388429752066116,-0.8422008430622657,0.6913784096868016
20,Slovakia,0.3690984340128842,2,74,78.2,6516.2,8.7822001148288,5.8,24.7,0.05945945945945946,0.31360946745562224,0.38879788469880583,0.6666666666666667,0.6570247933884297,-0.9909926522692816,0.37808472660845327
21,Greece,0.3656893952577977,1,68,81.80000000000001,8605.8,9.060307867479295,11.1,17.8,0.02702702702702703,0.7396449704142025,0.4409144863745036,0.11458333333333337,0.37190082644628103,-0.8831843768743582,-2.362314001050504
22,Hungary,0.3283612421508576,2,76,76.65,8971.4,9.10190847779387,4.1,21.4,0.07027027027027027,0.13017751479289963,0.4487103224005322,0.84375,0.5206611570247932,-1.5015819779160735,0.84441583097088
23,Lithuania,0.31272689245959495,2,86,77.4,3646.0,8.20166019080868,6.9,22.8,0.12432432432432433,0.218934911242604,0.2800063544784328,0.5520833333333333,0.578512396694215,-1.309581371715475,0.23918464038662535
24,Croatia,0.30235046712835206,2,78,78.65,1566.1,7.35698205652917,6.1,21.2,0.08108108108108109,0.36686390532544344,0.12171607508539539,0.6354166666666667,0.5123966942148759,-1.4101692272349298,0.4590043847437068
25,Estonia,0.2937294491462655,2,80,78.9,1287.7,7.161389237294346,6.4,20.2,0.0918918918918919,0.39644970414201275,0.08506253719032397,0.6041666666666666,0.4710743801652892,-1.453233525446478,0.33699434245241405
26,Latvia,0.15254118803723893,2,70,75.55,1945.4,7.573736791469313,6.5,15.0,0.03783783783783784,0.0,0.16233529578145922,0.59375,0.256198347107438,-2.7358738926361985,0.2265401323671467
27,Bulgaria,0.14623743099991515,2,63,75.85,3556.5,8.176813329964007,4.3,8.8,0.0,0.035502958579881394,0.27535012344139065,0.8229166666666667,0.0,-3.1169236368149296,0.3125080353288693
